"RouteUID","RouteID","RouteName","SubRouteUID","SubRouteID","SubRouteName","Direction","BusRouteType","DepartureStopName","DestinationStopName","FirstBusTime","LastBusTime","HolidayFirstBusTime","HolidayLastBusTime"
"HSZ0007","0007","81","HSZ000701","000701","81",0,11,"<U+53E4><U+5947><U+5CF0>","<U+65B0><U+838A><U+8ECA><U+7AD9>",NA,NA,NA,NA
"HSZ0007","0007","81","HSZ000702","000702","81",1,11,"<U+53E4><U+5947><U+5CF0>","<U+65B0><U+838A><U+8ECA><U+7AD9>",NA,NA,NA,NA
"HSZ0008","0008","83","HSZ000801","000801","83",0,11,"<U+6210><U+5FB7><U+8DEF>","<U+5317><U+6821><U+9580>",NA,NA,NA,NA
"HSZ0008","0008","83","HSZ000802","000802","83",1,11,"<U+6210><U+5FB7><U+8DEF>","<U+5317><U+6821><U+9580>",NA,NA,NA,NA
"HSZ0008","0008","83","HSZ0008A1","0008A1","83<U+652F>A",0,11,"<U+6210><U+5FB7><U+8DEF>","<U+5317><U+6821><U+9580>",NA,NA,NA,NA
"HSZ0008","0008","83","HSZ0008A2","0008A2","83<U+652F>A",1,11,"<U+6210><U+5FB7><U+8DEF>","<U+5317><U+6821><U+9580>",NA,NA,NA,NA
"HSZ0010","0010","<U+85CD><U+7DDA>1<U+5340>","HSZ001001","001001","<U+85CD><U+7DDA>1<U+5340>",0,11,"<U+706B><U+8ECA><U+7AD9>","<U+706B><U+8ECA><U+7AD9>",NA,NA,NA,NA
"HSZ0020","0020","2","HSZ002001","002001","2",0,11,"<U+706B><U+8ECA><U+7AD9>","<U+4EA4><U+5927><U+5149><U+5FA9><U+6821><U+5340>",NA,NA,NA,NA
"HSZ0020","0020","2","HSZ002002","002002","2",1,11,"<U+706B><U+8ECA><U+7AD9>","<U+4EA4><U+5927><U+5149><U+5FA9><U+6821><U+5340>",NA,NA,NA,NA
"HSZ0020","0020","2","HSZ0020A1","0020A1","2<U+652F>A",0,11,"<U+706B><U+8ECA><U+7AD9>","<U+4EA4><U+5927><U+5149><U+5FA9><U+6821><U+5340>",NA,NA,NA,NA
"HSZ0020","0020","2","HSZ0020A2","0020A2","2<U+652F>A",1,11,"<U+706B><U+8ECA><U+7AD9>","<U+4EA4><U+5927><U+5149><U+5FA9><U+6821><U+5340>",NA,NA,NA,NA
"HSZ0100","0100","10","HSZ010001","010001","10",0,11,"<U+7E3D><U+7AD9>","<U+6210><U+5FB7><U+9AD8><U+4E2D>",NA,NA,NA,NA
"HSZ0100","0100","10","HSZ010002","010002","10",1,11,"<U+7E3D><U+7AD9>","<U+6210><U+5FB7><U+9AD8><U+4E2D>",NA,NA,NA,NA
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,11,"<U+706B><U+8ECA><U+7AD9>","<U+9806><U+5929><U+5BAE>",NA,NA,NA,NA
"HSZ0110","0110","11","HSZ0110A2","0110A2","11A",1,11,"<U+706B><U+8ECA><U+7AD9>","<U+9806><U+5929><U+5BAE>",NA,NA,NA,NA
"HSZ0113","0113","11<U+7532>","HSZ011301","011301","11<U+7532>",0,11,"<U+706B><U+8ECA><U+7AD9>","<U+4E0A><U+5BEE>",NA,NA,NA,NA
"HSZ0113","0113","11<U+7532>","HSZ011302","011302","11<U+7532>",1,11,"<U+706B><U+8ECA><U+7AD9>","<U+4E0A><U+5BEE>",NA,NA,NA,NA
"HSZ0120","0120","12","HSZ012001","012001","12",0,11,"<U+7E3D><U+7AD9>","<U+838A><U+539D>",NA,NA,NA,NA
"HSZ0120","0120","12","HSZ012002","012002","12",1,11,"<U+7E3D><U+7AD9>","<U+838A><U+539D>",NA,NA,NA,NA
"HSZ0150","0150","<U+85CD>15<U+5340>","HSZ015001","015001","<U+85CD>15<U+5340>",0,11,"<U+706B><U+8ECA><U+7AD9>","<U+5357><U+5BEE>",NA,NA,NA,NA
"HSZ0150","0150","<U+85CD>15<U+5340>","HSZ015002","015002","<U+85CD>15<U+5340>",1,11,"<U+706B><U+8ECA><U+7AD9>","<U+5357><U+5BEE>",NA,NA,NA,NA
"HSZ0150","0150","<U+85CD>15<U+5340>","HSZ0150B1","0150B1","<U+85CD>15<U+5340>B",0,11,"<U+706B><U+8ECA><U+7AD9>","<U+5357><U+5BEE>",NA,NA,NA,NA
"HSZ0150","0150","<U+85CD>15<U+5340>","HSZ0150B2","0150B2","<U+85CD>15<U+5340>B",1,11,"<U+706B><U+8ECA><U+7AD9>","<U+5357><U+5BEE>",NA,NA,NA,NA
"HSZ0160","0160","16","HSZ016001","016001","16",0,11,"<U+706B><U+8ECA><U+7AD9>","<U+53F0><U+5927><U+91AB><U+9662><U+65B0><U+7AF9><U+5206><U+9662>",NA,NA,NA,NA
