"Airport_O","Airport_D","Airline","Flight_Total","Seat_Total","Patronage_Total","LoadFactor_Total","Flight_Arrival","Seat_Arrival","Patronage_Arrival","LoadFactor_Arrival","Flight_Departure","Seat_Departure","Patronage_Departure","LoadFactor_Departure"
"臺灣桃園國際機場","大阪","中華",186,60348,53118,88,93,30174,28127,93.2,93,30174,24991,82.8
"臺灣桃園國際機場","大阪","捷星日本",98,17640,15955,90.4,49,8820,8421,95.5,49,8820,7534,85.4
"臺灣桃園國際機場","大阪","長榮",186,63440,57117,90,93,31720,30522,96.2,93,31720,26595,83.8
"臺灣桃園國際機場","大阪","泰越捷",62,13680,9614,70.3,31,6840,5039,73.7,31,6840,4575,66.9
"臺灣桃園國際機場","大阪","國泰",62,27156,20065,73.9,31,13578,11246,82.8,31,13578,8819,65
"臺灣桃園國際機場","大阪","台灣虎航",130,23400,21460,91.7,65,11700,10799,92.3,65,11700,10661,91.1
"臺灣桃園國際機場","大阪","樂桃",186,36992,30359,82.1,93,18496,15458,83.6,93,18496,14901,80.6
"臺灣桃園國際機場","大阪","全亞洲",62,23374,19964,85.4,31,11687,10960,93.8,31,11687,9004,77
"臺灣桃園國際機場","大阪","馬印",8,1476,999,67.7,4,738,473,64.1,4,738,526,71.3
"臺灣桃園國際機場","大阪","星宇",124,37168,34396,92.5,62,18584,17774,95.6,62,18584,16622,89.4
"臺灣桃園國際機場","首爾仁川","大韓",124,37044,35291,95.3,62,18522,17625,95.2,62,18522,17666,95.4
"臺灣桃園國際機場","首爾仁川","真航",62,24366,23260,95.5,31,12183,11718,96.2,31,12183,11542,94.7
"臺灣桃園國際機場","首爾仁川","易斯達",36,6804,6534,96,18,3402,3258,95.8,18,3402,3276,96.3
"臺灣桃園國際機場","首爾仁川","濟州",62,11718,11129,95,31,5859,5565,95,31,5859,5564,95
"臺灣桃園國際機場","首爾仁川","中華",124,38770,34413,88.8,62,19385,17559,90.6,62,19385,16854,86.9
"臺灣桃園國際機場","首爾仁川","長榮",124,36270,34675,95.6,62,18135,17491,96.4,62,18135,17184,94.8
"臺灣桃園國際機場","首爾仁川","台灣虎航",62,11160,9964,89.3,31,5580,4720,84.6,31,5580,5244,94
"臺灣桃園國際機場","首爾仁川","韓亞",124,49044,47237,96.3,62,24522,23939,97.6,62,24522,23298,95
"臺灣桃園國際機場","首爾仁川","酷航",53,19423,17846,91.9,26,9544,8848,92.7,27,9879,8998,91.1
"臺灣桃園國際機場","巴黎","長榮",62,21886,17361,79.3,31,10943,8562,78.2,31,10943,8799,80.4
"臺灣桃園國際機場","仙台","長榮",62,11408,10964,96.1,31,5704,5485,96.2,31,5704,5479,96.1
"臺灣桃園國際機場","仙台","台灣虎航",28,5040,4072,80.8,14,2520,2005,79.6,14,2520,2067,82
"臺灣桃園國際機場","仙台","星宇",62,18414,17057,92.6,31,9207,8526,92.6,31,9207,8531,92.7
"臺灣桃園國際機場","布里斯本","中華",44,13464,9006,66.9,22,6732,5161,76.7,22,6732,3845,57.1
"臺灣桃園國際機場","布里斯本","長榮",27,9234,7703,83.4,14,4788,4762,99.5,13,4446,2941,66.1
"臺灣桃園國際機場","札幌","中華",100,29036,26839,92.4,50,14518,13161,90.7,50,14518,13678,94.2
"臺灣桃園國際機場","札幌","長榮",124,32634,31369,96.1,62,16317,15870,97.3,62,16317,15499,95
"臺灣桃園國際機場","札幌","泰越捷",13,2340,1637,70,6,1080,727,67.3,7,1260,910,72.2
"臺灣桃園國際機場","札幌","台灣虎航",62,11160,10854,97.3,31,5580,5342,95.7,31,5580,5512,98.8
"臺灣桃園國際機場","札幌","酷航",36,12080,11455,94.8,18,6040,5707,94.5,18,6040,5748,95.2
"臺灣桃園國際機場","札幌","星宇",62,18414,18129,98.5,31,9207,9066,98.5,31,9207,9063,98.4
"臺灣桃園國際機場","吉隆坡","中華",62,21926,18965,86.5,31,10963,10205,93.1,31,10963,8760,79.9
"臺灣桃園國際機場","吉隆坡","長榮",62,20486,18040,88.1,31,10243,9567,93.4,31,10243,8473,82.7
