"StationUID","StationID","AuthorityID","StationNameZh_tw","StationNameEn","PositionLat","PositionLon","GeoHash","StationAddressZh_tw","StationAddressEn","StopDescription","BikesCapacity","LocationCity","LocationCityCode","LocationTown","LocationTownCode","InfoDate"
"TPE500101001",500101001,"TPE","YouBike2.0_捷運科技大樓站","YouBike2.0_MRT Technology Bldg. Sta.",25.02605,121.5436,"wsqqmgc77","復興南路二段235號前","No.235, Sec. 2, Fuxing S. Rd.",NA,28,NA,NA,NA,NA,"2023-05-31"
"TPE500101002",500101002,"TPE","YouBike2.0_復興南路二段273號前","YouBike2.0_No.273, Sec. 2, Fuxing S. Rd.",25.02565,121.54357,"wsqqmgc2f","復興南路二段273號西側","No.273, Sec. 2, Fuxing S. Rd. (West)",NA,21,NA,NA,NA,NA,"2023-05-31"
"TPE500101003",500101003,"TPE","YouBike2.0_國北教大實小東側門","YouBike2.0_NTUE Experiment Elementary School (East)",25.02429,121.54124,"wsqqmex9h","和平東路二段96巷7號","No. 7, Ln. 96, Sec. 2, Heping E. Rd",NA,16,NA,NA,NA,NA,"2023-05-31"
"TPE500101004",500101004,"TPE","YouBike2.0_和平公園東側","YouBike2.0_Heping Park (East)",25.02351,121.54282,"wsqqmg2u8","和平東路二段118巷33號","No. 33, Ln. 118, Sec. 2, Heping E. Rd",NA,11,NA,NA,NA,NA,"2023-05-31"
"TPE500101005",500101005,"TPE","YouBike2.0_辛亥復興路口西北側","YouBike2.0_Xinhai Fuxing Rd. Intersection (Northwest)",25.02153,121.54299,"wsqqmg0bu","復興南路二段368號","No. 368, Sec. 2, Fuxing S. Rd.",NA,16,NA,NA,NA,NA,"2023-05-31"
"TPE500101006",500101006,"TPE","YouBike2.0_復興南路二段280號前","YouBike2.0_No. 280, Sec. 2, Fuxing S. Rd.",25.02429,121.54328,"wsqqmg915","復興南路二段280號","No. 280, Sec. 2, Fuxing S. Rd.",NA,11,NA,NA,NA,NA,"2023-05-31"
"TPE500101007",500101007,"TPE","YouBike2.0_復興南路二段340巷口","YouBike2.0_Ln. 340, Sec. 2, Fuxing S. Rd.",25.02253,121.54326,"wsqqmg1ng","復興南路二段342號","No. 342, Sec. 2, Fuxing S. Rd.",NA,11,NA,NA,NA,NA,"2023-05-31"
"TPE500101008",500101008,"TPE","YouBike2.0_新生南路三段52號前","YouBike2.0_No. 52, Sec. 3, Xinsheng S. Rd.",25.02112,121.53407,"wsqqmdfqt","新生南路三段52號","No. 52, Sec. 3, Xinsheng S. Rd.",NA,17,NA,NA,NA,NA,"2023-05-31"
"TPE500101009",500101009,"TPE","YouBike2.0_新生南路三段66號前","YouBike2.0_No. 66, Sec. 3, Xinsheng S. Rd.",25.01976,121.53384,"wsqqmddnx","新生南路三段66號東側","No. 66, Sec. 3, Xinsheng S. Rd. (East)",NA,16,NA,NA,NA,NA,"2023-05-31"
"TPE500101010",500101010,"TPE","YouBike2.0_新生南路三段82號前","YouBike2.0_No. 82, Sec. 3, Xinsheng S. Rd.",25.01894,121.53361,"wsqqmdd1f","新生南路三段82號","No. 82, Sec. 3, Xinsheng S. Rd.",NA,20,NA,NA,NA,NA,"2023-05-31"
