"RouteUID","RouteID","RouteName","SubRouteUID","SubRouteID","SubRouteName","Direction","BusRouteType","DepartureStopName","DestinationStopName","FirstBusTime","LastBusTime","HolidayFirstBusTime","HolidayLastBusTime"
"KEE0211","0211","201","KEE021101","021101","201",0,11,"深美國小(消防分隊)","深美國小(消防分隊)",NA,NA,NA,NA
"KEE0212","0212","202","KEE021201","021201","202",0,11,"深美國小(消防分隊)","深美國小(消防分隊)",NA,NA,NA,NA
"KEE0212","0212","202","KEE0212A1","0212A1","202A",0,11,"深美國小(消防分隊)","深美國小(消防分隊)",NA,NA,NA,NA
"KEE0231","0231","203","KEE023101","023101","203",0,11,"八斗子分站","基隆漁會",NA,NA,NA,NA
"KEE0232","0232","203","KEE023201","023201","203",0,11,"八斗子分站","基隆漁會",NA,NA,NA,NA
"KEE0233","0233","203","KEE023301","023301","203",0,11,"八斗子分站","基隆漁會",NA,NA,NA,NA
"KEE0234","0234","203","KEE023401","023401","203",0,11,"八斗子分站","基隆漁會",NA,NA,NA,NA
"KEE0235","0235","203","KEE023501","023501","203",0,11,"八斗子分站","基隆漁會",NA,NA,NA,NA
"KEE0236","0236","204","KEE023601","023601","204",0,11,"深美分站","深美國小正門口",NA,NA,NA,NA
"KEE0237","0237","204","KEE023701","023701","204",0,11,"公車總站","深美國小正門口",NA,NA,NA,NA
"KEE0238","0238","204","KEE023801","023801","204",0,11,"深美分站","深美國小正門口",NA,NA,NA,NA
"KEE0239","0239","204","KEE023901","023901","204",0,11,"深美分站","深美國小正門口",NA,NA,NA,NA
"KEE0245","0245","204","KEE024501","024501","204",0,11,"深美分站","深美國小正門口",NA,NA,NA,NA
"KEE0245","0245","204","KEE0245A1","0245A1","204A",0,11,"深美分站","深美國小正門口",NA,NA,NA,NA
"KEE0245","0245","204","KEE0245B1","0245B1","204B",0,11,"深美分站","深美國小正門口",NA,NA,NA,NA
"KEE0245","0245","204","KEE0245C1","0245C1","204C",0,11,"深美分站","深美國小正門口",NA,NA,NA,NA
"KEE0245","0245","204","KEE0245D1","0245D1","204D",0,11,"深美分站","深美國小正門口",NA,NA,NA,NA
"KEE0251","0251","205","KEE025101","025101","205",0,11,"信義國中","和平島",NA,NA,NA,NA
"KEE0251","0251","205","KEE025102","025102","205",1,11,"信義國中","和平島",NA,NA,NA,NA
"KEE0251","0251","205","KEE0251A1","0251A1","205A",0,11,"信義國中","和平島",NA,NA,NA,NA
"KEE0318","0318","301","KEE031801","031801","301",0,11,"太白莊","太白莊",NA,NA,NA,NA
"KEE0352","0352","101","KEE035201","035201","101",0,11,"阿拉寶灣","阿拉寶灣",NA,NA,NA,NA
"KEE0352","0352","101","KEE0352A1","0352A1","101A",0,11,"阿拉寶灣","阿拉寶灣",NA,NA,NA,NA
