"RouteUID","RouteID","RouteName","SubRouteUID","SubRouteID","SubRouteName","Direction","StopUID","StopID","StopName","StopBoarding","StopSequence","PositionLon","PositionLat","StationID","LocationCityCode"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306173","306173","深美國小(消防分隊)",1,1,121.778546,25.136411,"140565","KEE"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306179","306179","深美街",0,2,121.779916,25.135676,"140570","KEE"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306191","306191","深溪路口",0,3,121.782438,25.134931,"140578","KEE"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306193","306193","第一特獎社區",0,4,121.782411,25.133053,"140580","KEE"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306199","306199","麗景江山社區",0,5,121.78202,25.131799,"140586","KEE"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306201","306201","孝忠里民活動中心",0,6,121.780927,25.130337,"140588","KEE"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306202","306202","孝東路",0,7,121.77948,25.128476,"140589","KEE"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306204","306204","住安城堡社區",0,8,121.776126,25.128353,"140592","KEE"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306206","306206","培德工家",0,9,121.773311,25.128743,"140594","KEE"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306209","306209","信義國中",0,10,121.768063,25.127936,"140597","KEE"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306212","306212","東光市場",0,11,121.766105,25.127454,"140600","KEE"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306214","306214","地方法院",0,12,121.764244,25.128286,"140602","KEE"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306216","306216","東明市場",0,13,121.763053,25.128185,"140604","KEE"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306218","306218","市立醫院",0,14,121.760955,25.128723,"140606","KEE"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306220","306220","基隆女中",0,15,121.758885,25.128583,"140608","KEE"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306222","306222","義九路口",0,16,121.755788,25.128506,"140610","KEE"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306224","306224","義七路口",0,17,121.75243,25.12851,"140612","KEE"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306226","306226","義六路口",0,18,121.750706,25.128586,"140614","KEE"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306228","306228","義四路口",0,19,121.747723,25.128961,"140616","KEE"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306230","306230","義二路口",0,20,121.746175,25.129801,"140618","KEE"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306232","306232","仁二路(二信循環站)",0,21,121.743128,25.129771,"140620","KEE"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306234","306234","公車總站",0,22,121.740307,25.132406,"140622","KEE"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306233","306233","忠一路孝一路口",0,23,121.741375,25.130586,"140621","KEE"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306231","306231","電力公司",0,24,121.74556,25.129606,"140619","KEE"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306229","306229","愛六路口",0,25,121.747583,25.128675,"140617","KEE"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306227","306227","劉銘傳路口",0,26,121.751383,25.128033,"140615","KEE"
"KEE0211","0211","201","KEE021101","021101","201",0,"KEE306225","306225","愛九路口",0,27,121.753133,25.12785,"140613","KEE"
